Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2020-05-04,1779.5389404296875,1812.3098994413012,1764.0523312877383,1812.3098994413012,3729348
2020-05-05,1781.6590576171875,1822.4498548230138,1776.358558545244,1802.261844547835,2905528
2020-05-06,1754.787841796875,1800.9712990148037,1745.5695823710375,1788.1580084349546,3517431
2020-05-07,1743.77197265625,1783.226053352351,1736.120772734824,1760.6874552839606,3166754
2020-05-08,1745.3851318359375,1787.8812821096203,1738.7940543332154,1787.5125292546118,2686530
2020-05-11,1784.0096435546875,1798.8510174923877,1759.7655782668553,1759.7655782668553,2449841
2020-05-12,1797.099853515625,1803.5526357544604,1760.9181816764415,1782.2584768718223,3256595
2020-05-13,1797.238037109375,1838.1209966507286,1775.114213679276,1838.1209966507286,2656665
2020-05-14,1753.6353759765625,1772.7632622848143,1743.2648352070282,1760.6873662053595,2263146
2020-05-15,1744.9244384765625,1767.5091752250917,1719.3897910443268,1766.218596333944,3173682
2020-05-18,1793.50439453125,1800.2797921867245,1725.7501929213597,1757.921938368169,3727694
2020-05-19,1796.3160400390625,1812.7244733369778,1754.2346657256774,1754.2346657256774,3198693
2020-05-20,1800.879150390625,1809.4521767222627,1780.6911396140065,1797.5605994817136,2778505
2020-05-21,1835.5399169921875,1841.8083789084171,1789.402592434484,1793.8734261039938,3400908
2020-05-22,1862.410888671875,1873.1501826477868,1807.9310018297103,1822.5419194791996,3663418
2020-05-26,1791.1077880859375,1865.7756886700656,1774.5149212894644,1857.479255271829,4575317
2020-05-27,1848.5377197265625,1852.8702569082982,1789.4947195140467,1805.8571309867443,3482160
2020-05-28,1847.61572265625,1856.5573890023804,1817.195467523639,1833.0508282180901,3475681
2020-05-29,1818.1632080078125,1846.0945765083602,1808.9910857343284,1827.0588500405167,7237735
2020-06-01,1885.3646240234375,1898.9615575055768,1826.229463695598,1834.4337375903388,3747773
2020-06-02,1887.11572265625,1918.3195037069506,1880.570781934315,1899.1454819169223,2443886
2020-06-03,1891.7386474609375,1908.0104523691925,1867.562017582444,1897.0085683938817,3699799
2020-06-04,1933.7125244140625,1941.524805272891,1892.2932834248998,1892.2932834248998,4048593
2020-06-05,1893.68017578125,1939.675825113664,1886.3301623880564,1933.7588871445219,3573289
2020-06-08,1915.406494140625,1936.901945323813,1906.4848165168569,1921.41597511657,2957841
2020-06-09,1915.683837890625,1937.3641503351491,1904.7742737904991,1907.4092902658858,2909439
2020-06-10,1949.6146240234375,1971.1100786807203,1917.0247411559444,1920.3068879781422,5168397
2020-06-11,1911.61572265625,1946.1472136216696,1906.2073254498232,1941.5245361546347,2269513
2020-06-12,1885.5904541015625,1894.5584047438467,1859.2411881334847,1859.4260501197432,2842642
2020-06-15,1876.71484375,1903.6188072349285,1849.9494703188893,1885.2205261571996,2399022
2020-06-16,1891.4149169921875,1917.4405030387518,1877.7317453930063,1909.1659548185908,2146528
2020-06-17,1893.2642822265625,1903.4804470201518,1873.6178982837857,1891.6000727962994,2703527
2020-06-18,1884.2962646484375,1903.8039461444469,1872.3697310590812,1890.6755838109643,1944389
2020-06-19,1890.3056640625,1932.27960729014,1878.6565368485954,1887.9018938212755,5681758
