Price,Close,High,Low,Open,Volume
Ticker,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS
Date,,,,,
2020-04-30,92.64430236816406,93.44484674907247,89.05400499699263,89.7575083112256,17667854
2020-05-04,92.20764923095703,92.81411889519222,88.81141911123997,89.51492244111397,17140740
2020-05-05,89.36936950683594,94.12409322242188,88.39901803031613,92.88689360922027,13864778
2020-05-06,90.75212860107422,91.21304409859306,87.81681373321992,90.0971383550458,10885580
2020-05-07,89.32086181640625,89.95158439201272,87.91384764781984,89.27234127834666,11402138
2020-05-08,89.2723388671875,90.24269037661345,88.56883550349258,89.85454829220417,8227344
2020-05-11,89.6119613647461,92.15913410398957,89.3208603507493,89.75751557334178,8787666
2020-05-12,90.75212860107422,91.21304409859306,88.59309792086879,89.369374705323,7030818
2020-05-13,92.03783416748047,92.91115195896069,89.83028312332587,92.91115195896069,10560968
2020-05-14,90.24269104003906,90.89768127499458,88.83568430230552,89.63622134218933,10324394
2020-05-15,89.17530822753906,90.24269344354418,88.61735164874008,90.24269344354418,6849030
2020-05-18,88.3990249633789,89.75751861769103,87.13757238688501,88.32625155821006,14454486
2020-05-19,89.46640014648438,90.24268426271001,86.3612784879698,88.42327530580054,11486668
2020-05-20,89.73326110839844,90.19417662943331,88.39902768250033,89.75752137859922,15415706
2020-05-21,91.74673461914062,93.00818709055272,88.98122700198019,88.98122700198019,14258230
2020-05-22,91.69821166992188,92.59578971897385,90.46101209532381,91.72247193671674,9177652
2020-05-26,91.60118865966797,93.73595912840976,90.0971407817852,91.69822233493898,11822268
2020-05-27,97.64161682128906,99.70361369826038,91.0674841211299,91.98932246098654,36165936
2020-05-28,96.71978759765625,98.7332639754353,95.11870616065897,98.7332639754353,24695246
2020-05-29,103.24539947509766,104.2642640923369,95.16721892130259,96.71978721971456,61260422
2020-06-01,104.3370361328125,107.22383007733272,103.5364917830791,104.55536371794209,26749248
2020-06-02,104.72518920898438,106.03516226097837,102.34782357821543,104.36130739436413,12812554
2020-06-03,102.5418930053711,105.50146050227163,102.15375094259235,104.84647771182695,16844202
2020-06-04,104.91925811767578,106.7144069493393,101.95968301989936,102.54189985455311,14794936
2020-06-05,106.13219451904297,106.85995813860211,104.31278547014509,106.73866420200892,14491168
2020-06-08,109.8680419921875,110.28044432176675,104.72518372351901,106.25348430359445,24427392
2020-06-09,105.9381332397461,109.79527916333807,105.35591638824974,108.7278939409194,15690504
2020-06-10,105.28313446044922,107.24809766719322,104.6038913929498,106.73866166497156,14787292
2020-06-11,103.29391479492188,105.59849962038899,103.027074053476,105.28313834239233,12497490
