Close,High,Low,Open,Volume
TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
1051.4058837890625,1060.2655032962411,1049.5265461144327,1060.2655032962411,366830
1065.40771484375,1070.1576378709974,1053.4916641005693,1053.656838478937,925740
1049.216552734375,1073.8541533280377,1042.773139414737,1066.047799471478,1754242
1010.535888671875,1044.6114251256233,1007.8098054199496,1044.6114251256233,2423784
998.59912109375,1023.9802140626044,994.3654935973976,1020.2009674136835,2636332
1009.3794555664062,1011.527226978947,999.776348981163,1008.801143483636,1565408
1037.6719970703125,1040.8110151102474,1011.9397935800434,1014.0049768322476,3197642
1036.5986328125,1044.1572278496392,1024.4347169201217,1039.6138221904835,1596006
1031.7242431640625,1045.1479347504908,1024.3722712125652,1040.8523937784455,1468432
1041.6575927734375,1045.7260434611385,1032.7979782150992,1039.2000452666225,1787096
1048.741455078125,1066.357428817881,1042.1947834858984,1046.221891041229,5009920
1045.8714599609375,1051.179025039902,1026.107702645866,1050.6420568435747,5293830
1037.1348876953125,1053.6563514578822,1033.8305949427986,1047.4608025469186,1135074
1032.7774658203125,1044.9827189305674,1025.673255645981,1040.852352452581,2058566
1038.2916259765625,1041.6785065835318,1027.7385186385698,1041.6785065835318,2310480
1038.1885986328125,1041.3689616100276,1030.7332647289336,1039.4070369426413,2113214
1034.0787353515625,1045.8296094452994,1030.9809600629303,1038.3742767495166,3150380
1035.506591796875,1040.8661008155714,1030.3333010373542,1039.7694035908871,2738736
1051.0472412109375,1053.2406357933737,1035.8583777868478,1035.8998045317712,3121980
1053.136962890625,1063.0903931667876,1039.996806148049,1050.384812997091,3734392
1027.2294921875,1065.6980682688802,1022.2424188831588,1059.779802477702,5817402
1040.5347900390625,1043.5352981029764,1018.9518655542701,1027.2084158116356,3181802
1058.7657470703125,1061.5593242393634,1037.5966804945072,1039.479677605417,2345054
1040.57666015625,1064.3323764646489,1035.52754740202,1062.8011022497972,2245418
1056.3446044921875,1072.6094517434935,1042.5216112382743,1042.9354745218147,4530168
1066.0079345703125,1073.8920472383638,1055.7027832674053,1056.592548561781,2136416
1039.9971923828125,1063.2563939458562,1034.6583954784871,1060.110992007258,2076432
1010.30224609375,1045.5220495652043,1006.9293009766026,1038.7967716610244,3799054
1018.0621337890625,1029.3813337096494,1012.8268042701536,1016.0549577190211,2937522
1018.9932250976562,1026.2979711135015,1012.7232381100739,1026.2979711135015,3107980
1050.6954345703125,1054.4202042054214,1018.2071660863068,1022.2423331910081,4158326
1069.7537841796875,1073.9751692611017,1057.4206387137242,1059.4899550321466,2364392
1090.7987060546875,1093.8406415582167,1061.6627717583108,1069.857284854429,2660014
1109.588134765625,1112.1747801903593,1090.5297110680146,1090.9435743359722,2618002
1107.31201171875,1116.9343337843518,1093.5303431327507,1116.9343337843518,1801588
1116.044189453125,1126.5356622864126,1105.4286384889817,1105.4286384889817,1614892
1119.3966064453125,1129.8466533305123,1108.7396279386237,1114.9475765832967,2199922
1105.9254150390625,1126.5358261892675,1104.1251704306765,1121.5694669261259,1767994
1099.4071044921875,1114.4303619631023,1086.5360169384162,1108.7397417878194,1991994
1101.8489990234375,1107.3947268364216,1082.7905738182333,1100.6487348269131,2877376
1104.76611328125,1121.1344190137738,1097.7925807050815,1109.0289233984092,2176038
1148.8843994140625,1154.6784850018857,1107.560112858862,1109.9812533243933,3424308
1136.468505859375,1163.8249076148584,1123.9077155694679,1153.850762686066,3862994
1115.9615478515625,1146.6908943732612,1109.5880941745063,1138.1239452481059,2173514
1095.4129638671875,1109.0704472965165,1080.1827803196536,1092.5986743463163,2883174
1093.716796875,1108.429661086393,1074.0789985753613,1096.2827297700596,3037052
1078.7554931640625,1100.8557547775479,1075.1341889925084,1093.4269281423592,2240200
1083.9288330078125,1086.3498729941598,1071.9475091673596,1085.9360096418757,1827636
1068.73974609375,1092.5782073764387,1065.6978109548877,1091.7711942908713,1586838
1060.44189453125,1080.1831526297642,1056.179082571325,1069.9193231552292,1556296
1069.2984619140625,1078.8173166916338,1058.5587307536214,1068.8018462207906,1267318
1059.2208251953125,1075.8166789512827,1056.0547110792854,1072.2988417384665,1255170
1074.4925537109375,1078.4656816633837,1062.842342654202,1066.111822189456,2448964
1080.576416015625,1083.4941726321435,1067.291464057441,1074.3891795848147,1963908
1083.1422119140625,1088.8742585947596,1078.5276768901344,1082.6663095719844,1566608
1072.4437255859375,1091.3572535334345,1068.63620437108,1088.460211146353,2394878
1065.180419921875,1081.8384138614012,1053.3646052547424,1072.4850650467301,2224858
1040.0802001953125,1070.540487252827,1035.0724124018886,1056.717489454773,3091642
1040.78369140625,1064.4152307600214,1036.355373264726,1047.4882582321977,2751776
1061.2073974609375,1063.5871111156746,1042.9353756413316,1045.004691862842,1339006
1056.986328125,1063.4012103267519,1043.3495503623512,1063.4012103267519,2427028
1052.3094482421875,1060.979964953726,1043.8666775879349,1058.662290125855,2075758
1054.2340087890625,1060.6902156720582,1034.6996811540178,1058.6623259097576,1568542
1069.8367919921875,1075.6308790668068,1052.8683941308027,1060.5041529602538,1886922
1093.1788330078125,1099.4282112710268,1072.258117273697,1073.5617466730823,1652134
1102.759765625,1112.2371972658639,1090.5921207872875,1100.4628034990299,2544450
1098.2894287109375,1105.3458162330985,1087.632451682466,1096.116646986686,1815544
1099.0140380859375,1102.945739596695,1087.632796870587,1102.531876279773,1308642
1087.529296875,1123.183580091344,1079.9348648317352,1098.6828927074669,2913934
1068.9261474609375,1087.2188850445343,1064.1874329017824,1087.1981716714427,3217570
